"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7","CD14",-2.39955769625,2.015932616,-4.8288876201025,0.000122861651924902,0.00565163598854547,1.18303371501656
"30","IL6R",-0.66038891925,1.120598142,-4.43579054902961,0.000296037394349863,0.00680886007004686,0.330639155826972
"27","IL1RN",-0.68374021675,1.44018537166667,-3.0808265184803,0.00625577315387393,0.0817427529202941,-2.59301366454102
"41","TLR2",-0.47220590225,1.0033177058,-2.89221936583892,0.00946847310609819,0.0817427529202941,-2.98206098601977
"6","CCL5",-4.512450643,3.883253074,-2.86100875251204,0.0101350207231123,0.0817427529202941,-3.04561327145059
"23","IL1A",0.43813342925,1.08543310246667,2.83769697887218,0.0106620982069949,0.0817427529202941,-3.09291445071472
"8","CD40",-0.8060005945,1.71769755453333,-2.65245816698048,0.0158910362172949,0.0941791669865062,-3.46325831271032
"1","BCL6",-0.38094618,1.08738454626667,-2.63827938264353,0.0163789855628706,0.0941791669865062,-3.4911712877193
"4","CCL3",-2.109722841,2.92220251126667,-2.29645877862527,0.0334342055463028,0.170885939458881,-4.1420512293206
"20","IL10RB",-0.34267647725,1.20521708113333,-1.79242475735289,0.0893198589523367,0.396585616869006,-5.00449924273858
"2","C3",-0.60132333725,0.940202503333333,-1.75989457908286,0.0948356909904145,0.396585616869006,-5.05529908414057
"35","MYD88",-0.167257156,0.748633713733333,-1.58976493103143,0.128714055283506,0.468672031452505,-5.30993640404034
"17","CXCR2",-0.61669980975,1.56911733053333,-1.55998828210589,0.135588746942497,0.468672031452505,-5.35251608312514
"11","CXCL1",0.291281277,1.09774344493333,1.50349177318437,0.149475419196486,0.468672031452505,-5.43160339855242
"18","CXCR4",-2.4598542055,3.83416357373333,-1.49050746619234,0.152827836343208,0.468672031452505,-5.44945960267126
"24","IL1B",0.1816343665,0.980368212866667,1.40693340301695,0.175910957705617,0.505744003403649,-5.56145791653654
"19","FOS",-1.239794416,2.71134810006667,-1.343209824581,0.195339161067837,0.528564788771793,-5.64335602732814
"13","CXCL2",0.24468457975,1.14445001,1.27614269738184,0.217585754590682,0.556052483953964,-5.72617622809066
"22","IL18",0.1742394495,1.02514697573333,1.18108398586296,0.252428244697291,0.611142066109231,-5.83744185039323
"25","IL1R1",-0.15062011875,0.932735272,-1.105541871542,0.282997838477152,0.65089502849745,-5.92058128659223
"46","TOLLIP",-0.25918292925,1.49667023966667,-0.928010863465251,0.36526991624864,0.800115054639879,-6.09675609308142
"28","IL23A",0.36009838025,1.86058121113333,0.834221281254589,0.414725430418459,0.828513041439214,-6.17852692946123
"31","CXCL8",0.3076808635,1.5881894544,0.829006859536679,0.417595889441394,0.828513041439214,-6.1828374407018
"45","TNF",0.81119049,3.20203804466667,0.802703610543956,0.432267673794373,0.828513041439214,-6.20419817590569
"10","CSF1",-0.11779106875,0.8449343626,-0.764529188992896,0.454127535457386,0.83559466524159,-6.23405561728664
"15","CXCL5",1.4025872325,4.80808819086667,0.689101130796771,0.499252799404555,0.883293414331136,-6.289021341697
"14","CXCL3",0.681964881249999,2.9785054582,0.608330389178357,0.550313802627145,0.937571663735136,-6.34185767455283
"16","CXCL6",0.0875166442499999,0.631109629133333,0.523924119742892,0.606508755106972,0.976224192643941,-6.39030289951048
"9","CEBPB",-0.215259076,1.57862019226667,-0.510865726856915,0.615445686666832,0.976224192643941,-6.3971728128662
"38","PTGS2",0.0650866904999999,1.10856568393333,0.442232108285854,0.663412355313982,0.986848375149283,-6.43050096200258
"34","LY96",-0.17046845825,1.75042990086667,-0.317107069229179,0.754688544843027,0.986848375149283,-6.47912012496699
"37","NR3C1",-0.03545041,0.6430430108,-0.280999000474802,0.781808163712359,0.986848375149283,-6.49020645637848
"29","IL6",-0.32672362825,2.81884384053333,-0.27815617693358,0.783956083816542,0.986848375149283,-6.49102296778465
"12","CXCL10",0.047530382,0.334579484133333,0.263692877687722,0.794911215175037,0.986848375149283,-6.49504955782999
"3","C3AR1",-0.03795591775,0.283064862733333,-0.242635669170929,0.810938822982398,0.986848375149283,-6.50053036160063
"40","TIRAP",-0.0287437799999999,1.02794720826667,-0.188025861546948,0.852889230705147,0.986848375149283,-6.51263141893914
"39","RIPK2",0.0210149942499998,1.06552316826667,0.179333914237434,0.859611536682433,0.986848375149283,-6.5142755724748
"44","TLR6",-0.115173338999999,2.45204231006667,-0.165258829629987,0.870520300505058,0.986848375149283,-6.5167735375996
"21","IL15",0.0271239134999999,1.265898348,0.150374793185707,0.882085066472077,0.986848375149283,-6.51919371196768
"43","TLR4",-0.0160398892499999,0.540991432066667,-0.130458380390478,0.897602141861475,0.986848375149283,-6.5220759145558
"5","CCL4",-0.141648383,3.58976983286667,-0.106045101160891,0.916680091634153,0.986848375149283,-6.52505212586809
"26","IL1RAP",0.0121061474999998,0.577127398133333,0.0889468547052727,0.930073365597647,0.986848375149283,-6.52677112902298
"33","LTB",0.0837724502500006,3.19666660086667,0.0540864564978645,0.957442070591805,0.986848375149283,-6.52934257202246
"36","NFKB1",0.0054124387500003,1.1099974708,0.0453838864773461,0.964284261278709,0.986848375149283,-6.52978906858322
"32","ITGB2",0.00766799899999998,0.741915764,0.0411942821434163,0.96757928804682,0.986848375149283,-6.52997616824199
"42","TLR3",0.00372224549999978,0.8710266842,0.0167065080845269,0.986848375149283,0.986848375149283,-6.53070755412871
