"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7","CD14",3.20630416675,2.015932616,6.45239017227992,3.82941738221354e-06,0.000176153199581823,4.44269257644253
"43","TLR4",-0.70143397,0.540991432066667,-5.70502316137025,1.8191828139758e-05,0.000418412047214435,2.89188121766273
"4","CCL3",4.04084520125,2.92220251126667,4.39850877809041,0.000321948590402702,0.00493654505284143,0.0417454144453995
"8","CD40",1.259941505,1.71769755453333,4.14632713382561,0.000568793574984319,0.00654112611231967,-0.518824428984012
"12","CXCL10",-0.5830279985,0.334579484133333,-3.23456964214969,0.00444620445664198,0.0346678537187682,-2.52119153799064
"25","IL1R1",-0.43388735975,0.932735272,-3.18470498972722,0.00496842406678955,0.0346678537187682,-2.62787542646612
"6","CCL5",4.98043144075,3.883253074,3.15772050944777,0.00527554295720386,0.0346678537187682,-2.68541328542352
"29","IL6",3.38475633725,2.81884384053333,2.88161247371055,0.00969011721261725,0.0557181739725492,-3.26507126256057
"32","ITGB2",-0.49910296075,0.741915764,-2.68129771323001,0.014940858030945,0.0763643854914968,-3.67314325567472
"21","IL15",0.45333912325,1.265898348,2.51330903638625,0.0213381423477015,0.0871459548461338,-4.00539583089932
"44","TLR6",1.7446673005,2.45204231006667,2.50337168894913,0.0217880340819436,0.0871459548461338,-4.02473177418788
"22","IL18",-0.3663189805,1.02514697573333,-2.48309715640026,0.0227337273511653,0.0871459548461338,-4.06406504193847
"20","IL10RB",0.462279386,1.20521708113333,2.41802712263727,0.0260356175169055,0.0921260312136657,-4.18921773071734
"3","C3AR1",-0.3724445955,0.283064862733333,-2.3808762642352,0.0281166598996711,0.0923833110989192,-4.25990486743344
"38","PTGS2",-0.2901848415,1.10856568393333,-1.97166353463834,0.0636835817328791,0.195296317314163,-4.99644679110886
"40","TIRAP",0.28192002325,1.02794720826667,1.84416438126499,0.0811224412699681,0.22002150342439,-5.20792647690409
"10","CSF1",-0.276488082,0.8449343626,-1.79456058375955,0.0889676791295436,0.22002150342439,-5.28759038947002
"27","IL1RN",0.3885189355,1.44018537166667,1.75060558103427,0.0964639834576594,0.22002150342439,-5.3569054587522
"13","CXCL2",-0.33225437675,1.14445001,-1.73285949198712,0.0996420627945607,0.22002150342439,-5.38454305042191
"26","IL1RAP",-0.2353828275,0.577127398133333,-1.72941574995341,0.10026915096812,0.22002150342439,-5.38988288155465
"11","CXCL1",-0.3305611015,1.09774344493333,-1.70624044826614,0.104578359640738,0.22002150342439,-5.42561865294963
"45","TNF",1.68121536725,3.20203804466667,1.66362606814283,0.112917728089994,0.22002150342439,-5.49041037640065
"33","LTB",2.57615543175,3.19666660086667,1.6632570525903,0.112992351940866,0.22002150342439,-5.49096617536798
"19","FOS",1.527035952,2.71134810006667,1.65441114006017,0.114793827873595,0.22002150342439,-5.50426231691959
"2","C3",0.52883525275,0.940202503333333,1.5477435131637,0.138503509444344,0.254846457377592,-5.6603852952536
"23","IL1A",-0.233253436,1.08543310246667,-1.51073286460201,0.14763235434577,0.261195703842516,-5.71269225169138
"5","CCL4",1.79119789,3.58976983286667,1.3409807964008,0.19604846329663,0.326134494137988,-5.93966639818065
"37","NR3C1",-0.1682038155,0.6430430108,-1.3332738332659,0.198516648605732,0.326134494137988,-5.94945054040699
"31","CXCL8",-0.36514539925,1.5881894544,-0.983837724787552,0.337800681440594,0.535821770560943,-6.34195321686248
"34","LY96",-0.4446410545,1.75042990086667,-0.827125575598774,0.418634610367491,0.641906402563486,-6.48342462433815
"16","CXCL6",-0.1250311165,0.631109629133333,-0.74850696360805,0.463500109345101,0.687774355802408,-6.54583523016377
"14","CXCL3",0.740082266750001,2.9785054582,0.660172606734255,0.517222847252432,0.743507842925371,-6.60894006546868
"17","CXCR2",0.21511375575,1.56911733053333,0.544146330166414,0.592794262501331,0.826319275001855,-6.680301466579
"30","IL6R",0.0645748889999997,1.120598142,0.433745439969138,0.669454392656822,0.833484125749587,-6.73580256673937
"36","NFKB1",-0.0501175945000003,1.1099974708,-0.420241470502655,0.679116245436607,0.833484125749587,-6.74175017861073
"1","BCL6",-0.0581392710000002,1.08738454626667,-0.40264910912409,0.691789143810972,0.833484125749587,-6.74922154367836
"28","IL23A",0.1679634935,1.86058121113333,0.38911233273054,0.701604793861607,0.833484125749587,-6.75475680046973
"46","TOLLIP",0.10586089025,1.49667023966667,0.379037525551474,0.708945393751555,0.833484125749587,-6.75875557293957
"42","TLR3",-0.0768947549999999,0.8710266842,-0.345125770469813,0.733865797547733,0.833484125749587,-6.77145572004806
"9","CEBPB",-0.145103822,1.57862019226667,-0.344369077825766,0.734425461689845,0.833484125749587,-6.77172572152663
"35","MYD88",-0.0335879232500002,0.748633713733333,-0.319250331441876,0.753088657233953,0.833484125749587,-6.78035618466031
"41","TLR2",-0.0503937275000002,1.0033177058,-0.30865712160274,0.761007245249622,0.833484125749587,-6.78380217175598
"24","IL1B",0.02927710125,0.980368212866667,0.226779394703008,0.82306506081735,0.880488204595305,-6.80654565091969
"18","CXCR4",-0.177814055249998,3.83416357373333,-0.107743449327798,0.915351082099005,0.942081387981268,-6.82725042444941
"39","RIPK2",0.0116901135000002,1.06552316826667,0.0997589524363025,0.921601357807762,0.942081387981268,-6.82811285769604
"15","CXCL5",0.0564785359999997,4.80808819086667,0.0277483083558198,0.978157979744664,0.978157979744664,-6.83289380702156
