sample,il6
HBEC2 3-2,90.164
HBEC2 3-3,92.521
HBEC2 3-6,94.109
HBEC2 3-7,82.735
HBEC2 3-9,72.68
HBEC2 3-10,84.552
HBEC2 4-1,81.947
HBEC2 4-2,80.81
HBEC2 4-3,76.334
HBEC2 4-5,78.073
HBEC2 4-6,79.755
HBEC2 4-7,82.276
HBEC2 4-9,74.361
HBEC2 4-10,84.847
HBEC2 4-11,72.723
HBEC3 1-1,14.304
HBEC3 1-3,20.884
HBEC3 1-4,17.706
HBEC3 1-5,10.677
HBEC3 1-7,15.725
HBEC3 1-8,12.752
HBEC3 1-9,20.082
HBEC3 1-10,14.12
HBEC3 4-1,60.642
HBEC3 4-2,62.003
HBEC3 4-5,56.586
HBEC3 4-6,66.673
HBEC3 4-7,29.668
HBEC3 4-10,21.98
HBEC3 4-11,19.051
